,title,company,area,date,link
0,GTP - Trading Data Scientist,Vontobel,Zürich,21 Februar 2023,https://www.jobs.ch/en/vacancies/detail/97a0811c-d61b-484c-91ff-c86278eaf63a/?source=vacancy_search
1,NLP Machine Learning Data Scientist (w/m/d),die Mobiliar,Bern,09 März 2023,https://www.jobs.ch/en/vacancies/detail/1b953d68-08f9-49d0-967e-3f6a75e50a50/?source=vacancy_search
2,Datenspezialist:in / Data Scientist 80-100% (m/w/d),Wüest Partner,Zürich,03 März 2023,https://www.jobs.ch/en/vacancies/detail/955a9cde-9f0f-4f4d-a1f6-7d88e8b2f18a/?source=vacancy_search
3,Data Analyst SME f/m/d,JobCloud AG,Genève / Zürich,13 März 2023,https://www.jobs.ch/en/vacancies/detail/750e2a53-0672-455e-81c8-495354cf08ae/?source=vacancy_search
4,Senior Data Analyst (a),Bedag Informatik AG,"Bern, Gutenbergstrasse",22 März 2023,https://www.jobs.ch/en/vacancies/detail/dffed1af-28a9-4f9a-8f53-19efce04ca18/?source=vacancy_search
5,"Consultant Data Analytics (w/m/d, 60-100%)",IT-Logix AG,"Bern, Zürich",21 Februar 2023,https://www.jobs.ch/en/vacancies/detail/2fcbbafc-bfa3-4e19-9837-3870fbba5435/?source=vacancy_search
6,Metabolomic Data Analyst for Personalized Health Data Analysis Hub,ETH Zürich,Zurich,03 März 2023,https://www.jobs.ch/en/vacancies/detail/3ae98323-a1e9-4db4-ba88-7b9f004b6b98/?source=vacancy_search
7,Big Data Admin/Technical Platform Management,Wipro Ltd.,Zurich,08 März 2023,https://www.jobs.ch/en/vacancies/detail/09ed1232-9e93-4340-885f-67c53c0c3495/?source=vacancy_search
8,Data Analyst im Bereich Data Warehouse und Business Intelligence,Migros Bank AG,Wallisellen,17 März 2023,https://www.jobs.ch/en/vacancies/detail/632795de-6bbf-4dab-a1e7-5f385ddcd3ed/?source=vacancy_search
9,"Datenspezialist:in Sicherheit, Qualität, Umwelt & Risiko",SBB CFF FFS,Bern Wankdorf,15 März 2023,https://www.jobs.ch/en/vacancies/detail/9504d4b5-7006-459e-b141-310d3b687f24/?source=vacancy_search
10,Proteomic Data Analyst for Personalized Health Data Analysis Hub,ETH Zürich,Zurich,03 März 2023,https://www.jobs.ch/en/vacancies/detail/ac04b58d-df11-4b72-b718-ea70f474af24/?source=vacancy_search
11,Data & Analytics Spezialist*In Cumulus,Migros-Genossenschafts-Bund,Zürich,27 März 2023,https://www.jobs.ch/en/vacancies/detail/43aa21f7-c602-4f0b-b618-9400b5c94189/?source=vacancy_search
12,Senior Data Engineer (a),Bedag Informatik AG,"Bern, Gutenbergstrasse",22 März 2023,https://www.jobs.ch/en/vacancies/detail/61bc7693-e98c-4385-8f6e-3234f1c94892/?source=vacancy_search
13,Netzwirtschafter/Datenanalyst (m/w/d),EKS,Neuhausen,16 März 2023,https://www.jobs.ch/en/vacancies/detail/ea7e7d45-8059-40c5-aadf-6b3fc58c301e/?source=vacancy_search
14,Datenanalyst/in Beschaffungscontrolling,Bundesamt für Bauten und Logistik BBL,Bern,13 März 2023,https://www.jobs.ch/en/vacancies/detail/7941c9e7-b78b-46c7-800f-010c0b3dd741/?source=vacancy_search
15,analyste de données pour le controlling des achats,Office fédéral constructions et logistique OFCL,Berne,13 März 2023,https://www.jobs.ch/en/vacancies/detail/95feb031-e622-4618-85ab-48085e33b75b/?source=vacancy_search
16,Data Analyst im Marketing DACH (m/w/d) - Mach was mit Daten,BestDrive,Aarau,22 März 2023,https://www.jobs.ch/en/vacancies/detail/c0d3c447-360b-4844-a4ab-fc360fc7b131/?source=vacancy_search
17,Data Engineer / Analyst (m/f/d),ITech Consult AG,Zug,24 März 2023,https://www.jobs.ch/en/vacancies/detail/90f58946-7a8b-4ec3-9afb-3d9c615f5a08/?source=vacancy_search
18,Data Engineer 80 - 100%,Diartis AG,Lenzburg,17 März 2023,https://www.jobs.ch/en/vacancies/detail/15e3f846-f034-4e19-ad9a-c13cb7bceb5e/?source=vacancy_search
19,Data Analyst:in (a)*,Blick-Gruppe,Zürich-Seefeld,07 März 2023,https://www.jobs.ch/en/vacancies/detail/8d279714-bd06-4be9-a417-41586d4371e2/?source=vacancy_search
